Магазин,Хліб,Календар,Кількість,Сума
ЄВРАЗІЯ,КЕРПІЧИК,2025-04-26,13.0,364
ЄВРАЗІЯ,З ТРАВАМИ,2025-04-26,15.0,780
РОСВИГОВО,БІЛИЙ,2025-04-26,30.0,900
РОСВИГОВО,СІРИЙ,2025-04-26,32.0,1024
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-04-26,17.0,765
РОСВИГОВО,ТОСТОВИЙ,2025-04-26,20.0,1100
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-04-26,27.0,1296
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-04-26,11.0,660
РОСВИГОВО,КЕРПІЧИК,2025-04-26,19.0,532
РОСВИГОВО,З ТРАВАМИ,2025-04-26,29.0,1508
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-04-26,17.0,510
ЯВОРНИЦЬКОГО,СІРИЙ,2025-04-26,30.0,960
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-04-26,13.0,585
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-04-26,32.0,1760
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-04-26,21.0,1008
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-04-26,13.0,780
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-04-26,19.0,532
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-04-26,30.0,1560
ПРОГРЕС,БІЛИЙ,2025-04-26,25.0,750
ПРОГРЕС,СІРИЙ,2025-04-26,14.0,448
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-04-26,23.0,1035
ПРОГРЕС,ТОСТОВИЙ,2025-04-26,29.0,1595
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-04-26,20.0,960
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-04-26,11.0,660
ПРОГРЕС,КЕРПІЧИК,2025-04-26,25.0,700
ПРОГРЕС,З ТРАВАМИ,2025-04-26,15.0,780
ФРАНКА,БІЛИЙ,2025-04-26,17.0,510
ФРАНКА,СІРИЙ,2025-04-26,24.0,768
ФРАНКА,БОРОДІНСЬКИЙ,2025-04-26,28.0,1260
ФРАНКА,ТОСТОВИЙ,2025-04-26,11.0,605
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-04-26,12.0,576
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-04-26,10.0,600
ФРАНКА,КЕРПІЧИК,2025-04-26,18.0,504
ФРАНКА,З ТРАВАМИ,2025-04-26,31.0,1612
ЦЕНТРАЛ,БІЛИЙ,2025-04-26,11.0,330
ЦЕНТРАЛ,СІРИЙ,2025-04-26,14.0,448
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-04-26,25.0,1125
ЦЕНТРАЛ,ТОСТОВИЙ,2025-04-26,13.0,715
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-04-26,17.0,816
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-26,9.0,540
ЦЕНТРАЛ,КЕРПІЧИК,2025-04-26,15.0,420
ЦЕНТРАЛ,З ТРАВАМИ,2025-04-26,24.0,1248
ДРУЖБА,БІЛИЙ,2025-04-26,10.0,300
ДРУЖБА,СІРИЙ,2025-04-26,32.0,1024
ДРУЖБА,БОРОДІНСЬКИЙ,2025-04-26,12.0,540
ДРУЖБА,ТОСТОВИЙ,2025-04-26,7.0,385
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-04-26,25.0,1200
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-04-26,31.0,1860
ДРУЖБА,КЕРПІЧИК,2025-04-26,28.0,784
ДРУЖБА,З ТРАВАМИ,2025-04-26,12.0,624
АВТОСТАНЦІЯ,БІЛИЙ,2025-04-27,26.0,780
АВТОСТАНЦІЯ,СІРИЙ,2025-04-27,29.0,928
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-04-27,28.0,1260
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-04-27,29.0,1595
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-04-27,24.0,1152
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-27,25.0,1500
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-04-27,21.0,588
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-04-27,,0
ГРІНВІЧ,БІЛИЙ,2025-04-27,13.0,390
ГРІНВІЧ,СІРИЙ,2025-04-27,18.0,576
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-04-27,32.0,1440
ГРІНВІЧ,ТОСТОВИЙ,2025-04-27,22.0,1210
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-04-27,19.0,912
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-27,25.0,1500
ГРІНВІЧ,КЕРПІЧИК,2025-04-27,25.0,700
ГРІНВІЧ,З ТРАВАМИ,2025-04-27,16.0,832
ПАЛАНОК,БІЛИЙ,2025-04-27,18.0,540
ПАЛАНОК,СІРИЙ,2025-04-27,11.0,352
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-04-27,25.0,1125
ПАЛАНОК,ТОСТОВИЙ,2025-04-27,24.0,1320
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-04-27,17.0,816
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-04-27,,0
ПАЛАНОК,КЕРПІЧИК,2025-04-27,16.0,448
ПАЛАНОК,З ТРАВАМИ,2025-04-27,13.0,676
ЧЕРЕМШИНА,БІЛИЙ,2025-04-27,16.0,480
ЧЕРЕМШИНА,СІРИЙ,2025-04-27,15.0,480
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-04-27,16.0,720
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-04-27,27.0,1485
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-04-27,26.0,1248
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-04-27,21.0,1260
ЧЕРЕМШИНА,КЕРПІЧИК,2025-04-27,9.0,252
ЧЕРЕМШИНА,З ТРАВАМИ,2025-04-27,14.0,728
ПІДГОРЯНО,БІЛИЙ,2025-04-27,11.0,330
ПІДГОРЯНО,СІРИЙ,2025-04-27,28.0,896
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-04-27,13.0,585
ПІДГОРЯНО,ТОСТОВИЙ,2025-04-27,13.0,715
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-04-27,20.0,960
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-04-27,23.0,1380
ПІДГОРЯНО,КЕРПІЧИК,2025-04-27,16.0,448
ПІДГОРЯНО,З ТРАВАМИ,2025-04-27,16.0,832
ЄВРАЗІЯ,БІЛИЙ,2025-04-27,12.0,360
ЄВРАЗІЯ,СІРИЙ,2025-04-27,10.0,320
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-04-27,25.0,1125
ЄВРАЗІЯ,ТОСТОВИЙ,2025-04-27,20.0,1100
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-04-27,17.0,816
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-27,24.0,1440
ЄВРАЗІЯ,КЕРПІЧИК,2025-04-27,17.0,476
ЄВРАЗІЯ,З ТРАВАМИ,2025-04-27,10.0,520
РОСВИГОВО,БІЛИЙ,2025-04-27,29.0,870
РОСВИГОВО,СІРИЙ,2025-04-27,23.0,736
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-04-27,13.0,585
РОСВИГОВО,ТОСТОВИЙ,2025-04-27,14.0,770
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-04-27,26.0,1248
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-04-27,17.0,1020
РОСВИГОВО,КЕРПІЧИК,2025-04-27,27.0,756
РОСВИГОВО,З ТРАВАМИ,2025-04-27,,0
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-04-27,10.0,300
ЯВОРНИЦЬКОГО,СІРИЙ,2025-04-27,21.0,672
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-04-27,13.0,585
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-04-27,28.0,1540
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-04-27,16.0,768
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-04-27,15.0,900
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-04-27,15.0,420
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-04-27,14.0,728
ПРОГРЕС,БІЛИЙ,2025-04-27,23.0,690
ПРОГРЕС,СІРИЙ,2025-04-27,17.0,544
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-04-27,22.0,990
ПРОГРЕС,ТОСТОВИЙ,2025-04-27,28.0,1540
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-04-27,32.0,1536
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-04-27,17.0,1020
ПРОГРЕС,КЕРПІЧИК,2025-04-27,21.0,588
ПРОГРЕС,З ТРАВАМИ,2025-04-27,11.0,572
ФРАНКА,БІЛИЙ,2025-04-27,26.0,780
ФРАНКА,СІРИЙ,2025-04-27,29.0,928
ФРАНКА,БОРОДІНСЬКИЙ,2025-04-27,9.0,405
ФРАНКА,ТОСТОВИЙ,2025-04-27,22.0,1210
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-04-27,24.0,1152
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-04-27,15.0,900
ФРАНКА,КЕРПІЧИК,2025-04-27,10.0,280
ФРАНКА,З ТРАВАМИ,2025-04-27,16.0,832
ЦЕНТРАЛ,БІЛИЙ,2025-04-27,16.0,480
ЦЕНТРАЛ,СІРИЙ,2025-04-27,20.0,640
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-04-27,13.0,585
ЦЕНТРАЛ,ТОСТОВИЙ,2025-04-27,21.0,1155
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-04-27,22.0,1056
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-27,26.0,1560
ЦЕНТРАЛ,КЕРПІЧИК,2025-04-27,25.0,700
ЦЕНТРАЛ,З ТРАВАМИ,2025-04-27,27.0,1404
ДРУЖБА,БІЛИЙ,2025-04-27,18.0,540
ДРУЖБА,СІРИЙ,2025-04-27,26.0,832
ДРУЖБА,БОРОДІНСЬКИЙ,2025-04-27,26.0,1170
ДРУЖБА,ТОСТОВИЙ,2025-04-27,12.0,660
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-04-27,21.0,1008
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-04-27,12.0,720
ДРУЖБА,КЕРПІЧИК,2025-04-27,28.0,784
ДРУЖБА,З ТРАВАМИ,2025-04-27,32.0,1664
АВТОСТАНЦІЯ,БІЛИЙ,2025-04-28,10.0,300
АВТОСТАНЦІЯ,СІРИЙ,2025-04-28,24.0,768
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-04-28,21.0,945
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-04-28,16.0,880
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-04-28,17.0,816
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-28,7.0,420
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-04-28,23.0,644
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-04-28,5.0,260
ГРІНВІЧ,БІЛИЙ,2025-04-28,11.0,330
ГРІНВІЧ,СІРИЙ,2025-04-28,14.0,448
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-04-28,15.0,675
ГРІНВІЧ,ТОСТОВИЙ,2025-04-28,12.0,660
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-04-28,17.0,816
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-28,22.0,1320
ГРІНВІЧ,КЕРПІЧИК,2025-04-28,18.0,504
ГРІНВІЧ,З ТРАВАМИ,2025-04-28,6.0,312
ПАЛАНОК,БІЛИЙ,2025-04-28,22.0,660
ПАЛАНОК,СІРИЙ,2025-04-28,5.0,160
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-04-28,14.0,630
ПАЛАНОК,ТОСТОВИЙ,2025-04-28,23.0,1265
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-04-28,14.0,672
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-04-28,11.0,660
ПАЛАНОК,КЕРПІЧИК,2025-04-28,14.0,392
ПАЛАНОК,З ТРАВАМИ,2025-04-28,16.0,832
ЧЕРЕМШИНА,БІЛИЙ,2025-04-28,9.0,270
ЧЕРЕМШИНА,СІРИЙ,2025-04-28,23.0,736
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-04-28,20.0,900
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-04-28,5.0,275
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-04-28,24.0,1152
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-04-28,12.0,720
ЧЕРЕМШИНА,КЕРПІЧИК,2025-04-28,17.0,476
ЧЕРЕМШИНА,З ТРАВАМИ,2025-04-28,12.0,624
ПІДГОРЯНО,БІЛИЙ,2025-04-28,7.0,210
ПІДГОРЯНО,СІРИЙ,2025-04-28,13.0,416
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-04-28,12.0,540
ПІДГОРЯНО,ТОСТОВИЙ,2025-04-28,8.0,440
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-04-28,13.0,624
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-04-28,5.0,300
ПІДГОРЯНО,КЕРПІЧИК,2025-04-28,6.0,168
ПІДГОРЯНО,З ТРАВАМИ,2025-04-28,22.0,1144
ЄВРАЗІЯ,БІЛИЙ,2025-04-28,16.0,480
ЄВРАЗІЯ,СІРИЙ,2025-04-28,6.0,192
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-04-28,6.0,270
ЄВРАЗІЯ,ТОСТОВИЙ,2025-04-28,20.0,1100
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-04-28,19.0,912
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-28,18.0,1080
ЄВРАЗІЯ,КЕРПІЧИК,2025-04-28,14.0,392
ЄВРАЗІЯ,З ТРАВАМИ,2025-04-28,13.0,676
РОСВИГОВО,БІЛИЙ,2025-04-28,10.0,300
РОСВИГОВО,СІРИЙ,2025-04-28,13.0,416
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-04-28,20.0,900
РОСВИГОВО,ТОСТОВИЙ,2025-04-28,20.0,1100
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-04-28,23.0,1104
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-04-28,14.0,840
РОСВИГОВО,КЕРПІЧИК,2025-04-28,20.0,560
РОСВИГОВО,З ТРАВАМИ,2025-04-28,14.0,728
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-04-28,7.0,210
ЯВОРНИЦЬКОГО,СІРИЙ,2025-04-28,17.0,544
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-04-28,20.0,900
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-04-28,14.0,770
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-04-28,24.0,1152
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-04-28,18.0,1080
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-04-28,20.0,560
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-04-28,9.0,468
ПРОГРЕС,БІЛИЙ,2025-04-28,24.0,720
ПРОГРЕС,СІРИЙ,2025-04-28,11.0,352
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-04-28,18.0,810
ПРОГРЕС,ТОСТОВИЙ,2025-04-28,15.0,825
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-04-28,19.0,912
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-04-28,20.0,1200
ПРОГРЕС,КЕРПІЧИК,2025-04-28,5.0,140
ПРОГРЕС,З ТРАВАМИ,2025-04-28,13.0,676
ФРАНКА,БІЛИЙ,2025-04-28,10.0,300
ФРАНКА,СІРИЙ,2025-04-28,23.0,736
ФРАНКА,БОРОДІНСЬКИЙ,2025-04-28,10.0,450
ФРАНКА,ТОСТОВИЙ,2025-04-28,20.0,1100
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-04-28,16.0,768
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-04-28,22.0,1320
ФРАНКА,КЕРПІЧИК,2025-04-28,19.0,532
ФРАНКА,З ТРАВАМИ,2025-04-28,6.0,312
ЦЕНТРАЛ,БІЛИЙ,2025-04-28,7.0,210
ЦЕНТРАЛ,СІРИЙ,2025-04-28,7.0,224
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-04-28,11.0,495
ЦЕНТРАЛ,ТОСТОВИЙ,2025-04-28,6.0,330
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-04-28,21.0,1008
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-28,7.0,420
ЦЕНТРАЛ,КЕРПІЧИК,2025-04-28,24.0,672
ЦЕНТРАЛ,З ТРАВАМИ,2025-04-28,16.0,832
ДРУЖБА,БІЛИЙ,2025-04-28,12.0,360
ДРУЖБА,СІРИЙ,2025-04-28,9.0,288
ДРУЖБА,БОРОДІНСЬКИЙ,2025-04-28,21.0,945
ДРУЖБА,ТОСТОВИЙ,2025-04-28,24.0,1320
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-04-28,22.0,1056
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-04-28,20.0,1200
ДРУЖБА,КЕРПІЧИК,2025-04-28,11.0,308
ДРУЖБА,З ТРАВАМИ,2025-04-28,6.0,312
АВТОСТАНЦІЯ,БІЛИЙ,2025-04-29,5.0,150
АВТОСТАНЦІЯ,СІРИЙ,2025-04-29,17.0,544
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-04-29,16.0,720
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-04-29,17.0,935
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-04-29,6.0,288
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-29,19.0,1140
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-04-29,23.0,644
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-04-29,5.0,260
ГРІНВІЧ,БІЛИЙ,2025-04-29,22.0,660
ГРІНВІЧ,СІРИЙ,2025-04-29,,0
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-04-29,18.0,810
ГРІНВІЧ,ТОСТОВИЙ,2025-04-29,5.0,275
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-04-29,5.0,240
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-29,22.0,1320
ГРІНВІЧ,КЕРПІЧИК,2025-04-29,22.0,616
ГРІНВІЧ,З ТРАВАМИ,2025-04-29,9.0,468
ПАЛАНОК,БІЛИЙ,2025-04-29,13.0,390
ПАЛАНОК,СІРИЙ,2025-04-29,18.0,576
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-04-29,13.0,585
ПАЛАНОК,ТОСТОВИЙ,2025-04-29,21.0,1155
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-04-29,11.0,528
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-04-29,12.0,720
ПАЛАНОК,КЕРПІЧИК,2025-04-29,12.0,336
ПАЛАНОК,З ТРАВАМИ,2025-04-29,22.0,1144
ЧЕРЕМШИНА,БІЛИЙ,2025-04-29,6.0,180
ЧЕРЕМШИНА,СІРИЙ,2025-04-29,6.0,192
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-04-29,12.0,540
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-04-29,22.0,1210
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-04-29,12.0,576
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-04-29,23.0,1380
ЧЕРЕМШИНА,КЕРПІЧИК,2025-04-29,14.0,392
ЧЕРЕМШИНА,З ТРАВАМИ,2025-04-29,11.0,572
ПІДГОРЯНО,БІЛИЙ,2025-04-29,23.0,690
ПІДГОРЯНО,СІРИЙ,2025-04-29,15.0,480
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-04-29,24.0,1080
ПІДГОРЯНО,ТОСТОВИЙ,2025-04-29,14.0,770
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-04-29,24.0,1152
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-04-29,9.0,540
ПІДГОРЯНО,КЕРПІЧИК,2025-04-29,12.0,336
ПІДГОРЯНО,З ТРАВАМИ,2025-04-29,24.0,1248
ЄВРАЗІЯ,БІЛИЙ,2025-04-29,16.0,480
ЄВРАЗІЯ,СІРИЙ,2025-04-29,6.0,192
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-04-29,6.0,270
ЄВРАЗІЯ,ТОСТОВИЙ,2025-04-29,14.0,770
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-04-29,19.0,912
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-29,22.0,1320
ЄВРАЗІЯ,КЕРПІЧИК,2025-04-29,7.0,196
ЄВРАЗІЯ,З ТРАВАМИ,2025-04-29,9.0,468
РОСВИГОВО,БІЛИЙ,2025-04-29,13.0,390
РОСВИГОВО,СІРИЙ,2025-04-29,24.0,768
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-04-29,12.0,540
РОСВИГОВО,ТОСТОВИЙ,2025-04-29,16.0,880
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-04-29,5.0,240
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-04-29,8.0,480
РОСВИГОВО,КЕРПІЧИК,2025-04-29,10.0,280
РОСВИГОВО,З ТРАВАМИ,2025-04-29,21.0,1092
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-04-29,12.0,360
ЯВОРНИЦЬКОГО,СІРИЙ,2025-04-29,5.0,160
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-04-29,16.0,720
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-04-29,15.0,825
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-04-29,17.0,816
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-04-29,19.0,1140
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-04-29,7.0,196
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-04-29,22.0,1144
ПРОГРЕС,БІЛИЙ,2025-04-29,21.0,630
ПРОГРЕС,СІРИЙ,2025-04-29,18.0,576
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-04-29,14.0,630
ПРОГРЕС,ТОСТОВИЙ,2025-04-29,9.0,495
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-04-29,7.0,336
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-04-29,9.0,540
ПРОГРЕС,КЕРПІЧИК,2025-04-29,7.0,196
ПРОГРЕС,З ТРАВАМИ,2025-04-29,17.0,884
ФРАНКА,БІЛИЙ,2025-04-29,8.0,240
ФРАНКА,СІРИЙ,2025-04-29,10.0,320
ФРАНКА,БОРОДІНСЬКИЙ,2025-04-29,10.0,450
ФРАНКА,ТОСТОВИЙ,2025-04-29,23.0,1265
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-04-29,5.0,240
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-04-29,19.0,1140
ФРАНКА,КЕРПІЧИК,2025-04-29,9.0,252
ФРАНКА,З ТРАВАМИ,2025-04-29,23.0,1196
ЦЕНТРАЛ,БІЛИЙ,2025-04-29,11.0,330
ЦЕНТРАЛ,СІРИЙ,2025-04-29,21.0,672
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-04-29,20.0,900
ЦЕНТРАЛ,ТОСТОВИЙ,2025-04-29,14.0,770
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-04-29,14.0,672
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-29,14.0,840
ЦЕНТРАЛ,КЕРПІЧИК,2025-04-29,18.0,504
ЦЕНТРАЛ,З ТРАВАМИ,2025-04-29,8.0,416
ДРУЖБА,БІЛИЙ,2025-04-29,5.0,150
ДРУЖБА,СІРИЙ,2025-04-29,13.0,416
ДРУЖБА,БОРОДІНСЬКИЙ,2025-04-29,15.0,675
ДРУЖБА,ТОСТОВИЙ,2025-04-29,22.0,1210
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-04-29,8.0,384
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-04-29,17.0,1020
ДРУЖБА,КЕРПІЧИК,2025-04-29,7.0,196
ДРУЖБА,З ТРАВАМИ,2025-04-29,14.0,728
АВТОСТАНЦІЯ,БІЛИЙ,2025-04-30,11.0,330
АВТОСТАНЦІЯ,СІРИЙ,2025-04-30,11.0,352
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-04-30,10.0,450
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-04-30,8.0,440
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-04-30,13.0,624
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-30,11.0,660
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-04-30,10.0,280
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-04-30,6.0,312
ГРІНВІЧ,БІЛИЙ,2025-04-30,13.0,390
ГРІНВІЧ,СІРИЙ,2025-04-30,9.0,288
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-04-30,24.0,1080
ГРІНВІЧ,ТОСТОВИЙ,2025-04-30,11.0,605
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-04-30,12.0,576
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-04-30,5.0,300
ГРІНВІЧ,КЕРПІЧИК,2025-04-30,11.0,308
ГРІНВІЧ,З ТРАВАМИ,2025-04-30,21.0,1092
ПАЛАНОК,БІЛИЙ,2025-04-30,20.0,600
ПАЛАНОК,СІРИЙ,2025-04-30,23.0,736
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-04-30,15.0,675
ПАЛАНОК,ТОСТОВИЙ,2025-04-30,12.0,660
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-04-30,15.0,720
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-04-30,24.0,1440
ПАЛАНОК,КЕРПІЧИК,2025-04-30,23.0,644
ПАЛАНОК,З ТРАВАМИ,2025-04-30,12.0,624
ЧЕРЕМШИНА,БІЛИЙ,2025-04-30,20.0,600
