Магазин,Хліб,Календар,Кількість списання
ГРІНВІЧ,БІЛИЙ,2025-01-23,0
ГРІНВІЧ,СІРИЙ,2025-01-23,1
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-23,1
ГРІНВІЧ,ТОСТОВИЙ,2025-01-23,2
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-23,2
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-23,4
ГРІНВІЧ,КЕРПІЧИК,2025-01-23,0
ГРІНВІЧ,З ТРАВАМИ,2025-01-23,6
ПАЛАНОК,БІЛИЙ,2025-01-23,2
ПАЛАНОК,СІРИЙ,2025-01-23,0
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-23,1
ПАЛАНОК,ТОСТОВИЙ,2025-01-23,1
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-23,0
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-23,2
ПАЛАНОК,КЕРПІЧИК,2025-01-23,1
ПАЛАНОК,З ТРАВАМИ,2025-01-23,1
ЧЕРЕМШИНА,БІЛИЙ,2025-01-23,1
ЧЕРЕМШИНА,СІРИЙ,2025-01-23,0
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-01-23,1
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-01-23,0
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-01-23,2
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-23,5
ЧЕРЕМШИНА,КЕРПІЧИК,2025-01-23,0
ЧЕРЕМШИНА,З ТРАВАМИ,2025-01-23,0
ПІДГОРЯНО,БІЛИЙ,2025-01-23,2
ПІДГОРЯНО,СІРИЙ,2025-01-23,3
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-01-23,2
ПІДГОРЯНО,ТОСТОВИЙ,2025-01-23,1
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-01-23,0
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-23,3
ПІДГОРЯНО,КЕРПІЧИК,2025-01-23,1
ПІДГОРЯНО,З ТРАВАМИ,2025-01-23,0
ЄВРАЗІЯ,БІЛИЙ,2025-01-23,2
ЄВРАЗІЯ,СІРИЙ,2025-01-23,0
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-01-23,1
ЄВРАЗІЯ,ТОСТОВИЙ,2025-01-23,0
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-01-23,2
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-23,0
ЄВРАЗІЯ,КЕРПІЧИК,2025-01-23,1
ЄВРАЗІЯ,З ТРАВАМИ,2025-01-23,6
РОСВИГОВО,БІЛИЙ,2025-01-23,0
РОСВИГОВО,СІРИЙ,2025-01-23,0
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-01-23,3
РОСВИГОВО,ТОСТОВИЙ,2025-01-23,0
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-01-23,0
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-23,1
РОСВИГОВО,КЕРПІЧИК,2025-01-23,2
РОСВИГОВО,З ТРАВАМИ,2025-01-23,0
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-01-23,1
ЯВОРНИЦЬКОГО,СІРИЙ,2025-01-23,0
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-01-23,1
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-01-23,0
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-01-23,3
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-23,4
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-01-23,1
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-01-23,3
ПРОГРЕС,БІЛИЙ,2025-01-23,1
ПРОГРЕС,СІРИЙ,2025-01-23,2
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-01-23,2
ПРОГРЕС,ТОСТОВИЙ,2025-01-23,0
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-01-23,2
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-01-23,3
ПРОГРЕС,КЕРПІЧИК,2025-01-23,0
ПРОГРЕС,З ТРАВАМИ,2025-01-23,3
ФРАНКА,БІЛИЙ,2025-01-23,2
ФРАНКА,СІРИЙ,2025-01-23,2
ФРАНКА,БОРОДІНСЬКИЙ,2025-01-23,1
ФРАНКА,ТОСТОВИЙ,2025-01-23,0
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-01-23,0
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-23,0
ФРАНКА,КЕРПІЧИК,2025-01-23,3
ФРАНКА,З ТРАВАМИ,2025-01-23,0
ЦЕНТРАЛ,БІЛИЙ,2025-01-23,1
ЦЕНТРАЛ,СІРИЙ,2025-01-23,0
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-01-23,0
ЦЕНТРАЛ,ТОСТОВИЙ,2025-01-23,0
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-01-23,1
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-23,1
ЦЕНТРАЛ,КЕРПІЧИК,2025-01-23,2
ЦЕНТРАЛ,З ТРАВАМИ,2025-01-23,5
ДРУЖБА,БІЛИЙ,2025-01-23,0
ДРУЖБА,СІРИЙ,2025-01-23,0
ДРУЖБА,БОРОДІНСЬКИЙ,2025-01-23,2
ДРУЖБА,ТОСТОВИЙ,2025-01-23,1
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-01-23,2
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-23,0
ДРУЖБА,КЕРПІЧИК,2025-01-23,1
ДРУЖБА,З ТРАВАМИ,2025-01-23,1
АВТОСТАНЦІЯ,БІЛИЙ,2025-01-24,1
АВТОСТАНЦІЯ,СІРИЙ,2025-01-24,1
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-01-24,0
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-01-24,0
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-01-24,0
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-24,2
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-01-24,0
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-01-24,1
ГРІНВІЧ,БІЛИЙ,2025-01-24,2
ГРІНВІЧ,СІРИЙ,2025-01-24,0
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-24,0
ГРІНВІЧ,ТОСТОВИЙ,2025-01-24,2
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-24,3
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-24,0
ГРІНВІЧ,КЕРПІЧИК,2025-01-24,0
ГРІНВІЧ,З ТРАВАМИ,2025-01-24,0
ПАЛАНОК,БІЛИЙ,2025-01-24,1
ПАЛАНОК,СІРИЙ,2025-01-24,3
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-24,3
ПАЛАНОК,ТОСТОВИЙ,2025-01-24,1
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-24,0
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-24,3
ПАЛАНОК,КЕРПІЧИК,2025-01-24,2
ПАЛАНОК,З ТРАВАМИ,2025-01-24,0
ЧЕРЕМШИНА,БІЛИЙ,2025-01-24,2
ЧЕРЕМШИНА,СІРИЙ,2025-01-24,2
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-01-24,0
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-01-24,0
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-01-24,0
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-24,0
ЧЕРЕМШИНА,КЕРПІЧИК,2025-01-24,0
ЧЕРЕМШИНА,З ТРАВАМИ,2025-01-24,2
ПІДГОРЯНО,БІЛИЙ,2025-01-24,0
ПІДГОРЯНО,СІРИЙ,2025-01-24,3
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-01-24,1
ПІДГОРЯНО,ТОСТОВИЙ,2025-01-24,0
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-01-24,1
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-24,2
ПІДГОРЯНО,КЕРПІЧИК,2025-01-24,0
ПІДГОРЯНО,З ТРАВАМИ,2025-01-24,3
ЄВРАЗІЯ,БІЛИЙ,2025-01-24,3
ЄВРАЗІЯ,СІРИЙ,2025-01-24,1
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-01-24,0
ЄВРАЗІЯ,ТОСТОВИЙ,2025-01-24,1
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-01-24,1
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-24,2
ЄВРАЗІЯ,КЕРПІЧИК,2025-01-24,3
ЄВРАЗІЯ,З ТРАВАМИ,2025-01-24,4
РОСВИГОВО,БІЛИЙ,2025-01-24,1
РОСВИГОВО,СІРИЙ,2025-01-24,1
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-01-24,3
РОСВИГОВО,ТОСТОВИЙ,2025-01-24,2
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-01-24,1
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-24,5
РОСВИГОВО,КЕРПІЧИК,2025-01-24,1
РОСВИГОВО,З ТРАВАМИ,2025-01-24,1
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-01-24,1
ЯВОРНИЦЬКОГО,СІРИЙ,2025-01-24,0
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-01-24,0
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-01-24,1
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-01-24,0
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-24,4
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-01-24,2
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-01-24,4
ПРОГРЕС,БІЛИЙ,2025-01-24,1
ПРОГРЕС,СІРИЙ,2025-01-24,0
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-01-24,2
ПРОГРЕС,ТОСТОВИЙ,2025-01-24,1
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-01-24,0
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-01-24,3
ПРОГРЕС,КЕРПІЧИК,2025-01-24,0
ПРОГРЕС,З ТРАВАМИ,2025-01-24,1
ФРАНКА,БІЛИЙ,2025-01-24,2
ФРАНКА,СІРИЙ,2025-01-24,0
ФРАНКА,БОРОДІНСЬКИЙ,2025-01-24,2
ФРАНКА,ТОСТОВИЙ,2025-01-24,0
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-01-24,0
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-24,5
ФРАНКА,КЕРПІЧИК,2025-01-24,1
ФРАНКА,З ТРАВАМИ,2025-01-24,3
ЦЕНТРАЛ,БІЛИЙ,2025-01-24,0
ЦЕНТРАЛ,СІРИЙ,2025-01-24,2
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-01-24,1
ЦЕНТРАЛ,ТОСТОВИЙ,2025-01-24,0
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-01-24,0
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-24,3
ЦЕНТРАЛ,КЕРПІЧИК,2025-01-24,0
ЦЕНТРАЛ,З ТРАВАМИ,2025-01-24,1
ДРУЖБА,БІЛИЙ,2025-01-24,2
ДРУЖБА,СІРИЙ,2025-01-24,1
ДРУЖБА,БОРОДІНСЬКИЙ,2025-01-24,1
ДРУЖБА,ТОСТОВИЙ,2025-01-24,2
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-01-24,0
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-24,3
ДРУЖБА,КЕРПІЧИК,2025-01-24,0
ДРУЖБА,З ТРАВАМИ,2025-01-24,1
АВТОСТАНЦІЯ,БІЛИЙ,2025-01-25,0
АВТОСТАНЦІЯ,СІРИЙ,2025-01-25,2
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-01-25,2
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-01-25,1
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-01-25,0
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-25,3
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-01-25,2
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-01-25,5
ГРІНВІЧ,БІЛИЙ,2025-01-25,1
ГРІНВІЧ,СІРИЙ,2025-01-25,1
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-25,0
ГРІНВІЧ,ТОСТОВИЙ,2025-01-25,2
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-25,2
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-25,1
ГРІНВІЧ,КЕРПІЧИК,2025-01-25,0
ГРІНВІЧ,З ТРАВАМИ,2025-01-25,3
ПАЛАНОК,БІЛИЙ,2025-01-25,2
ПАЛАНОК,СІРИЙ,2025-01-25,1
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-25,1
ПАЛАНОК,ТОСТОВИЙ,2025-01-25,3
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-25,1
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-25,2
ПАЛАНОК,КЕРПІЧИК,2025-01-25,0
ПАЛАНОК,З ТРАВАМИ,2025-01-25,5
ЧЕРЕМШИНА,БІЛИЙ,2025-01-25,1
ЧЕРЕМШИНА,СІРИЙ,2025-01-25,0
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-01-25,0
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-01-25,0
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-01-25,0
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-25,1
ЧЕРЕМШИНА,КЕРПІЧИК,2025-01-25,0
ЧЕРЕМШИНА,З ТРАВАМИ,2025-01-25,2
ПІДГОРЯНО,БІЛИЙ,2025-01-25,0
ПІДГОРЯНО,СІРИЙ,2025-01-25,0
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-01-25,1
ПІДГОРЯНО,ТОСТОВИЙ,2025-01-25,1
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-01-25,2
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-25,1
ПІДГОРЯНО,КЕРПІЧИК,2025-01-25,2
ПІДГОРЯНО,З ТРАВАМИ,2025-01-25,2
ЄВРАЗІЯ,БІЛИЙ,2025-01-25,0
ЄВРАЗІЯ,СІРИЙ,2025-01-25,1
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-01-25,1
ЄВРАЗІЯ,ТОСТОВИЙ,2025-01-25,2
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-01-25,0
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-25,2
ЄВРАЗІЯ,КЕРПІЧИК,2025-01-25,1
ЄВРАЗІЯ,З ТРАВАМИ,2025-01-25,4
РОСВИГОВО,БІЛИЙ,2025-01-25,1
РОСВИГОВО,СІРИЙ,2025-01-25,1
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-01-25,0
РОСВИГОВО,ТОСТОВИЙ,2025-01-25,0
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-01-25,1
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-25,1
РОСВИГОВО,КЕРПІЧИК,2025-01-25,0
РОСВИГОВО,З ТРАВАМИ,2025-01-25,2
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-01-25,2
ЯВОРНИЦЬКОГО,СІРИЙ,2025-01-25,0
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-01-25,3
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-01-25,1
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-01-25,1
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-25,2
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-01-25,3
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-01-25,2
ПРОГРЕС,БІЛИЙ,2025-01-25,0
ПРОГРЕС,СІРИЙ,2025-01-25,1
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-01-25,1
ПРОГРЕС,ТОСТОВИЙ,2025-01-25,0
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-01-25,0
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-01-25,0
ПРОГРЕС,КЕРПІЧИК,2025-01-25,2
ПРОГРЕС,З ТРАВАМИ,2025-01-25,1
ФРАНКА,БІЛИЙ,2025-01-25,0
ФРАНКА,СІРИЙ,2025-01-25,1
ФРАНКА,БОРОДІНСЬКИЙ,2025-01-25,2
ФРАНКА,ТОСТОВИЙ,2025-01-25,2
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-01-25,1
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-25,0
ФРАНКА,КЕРПІЧИК,2025-01-25,2
ФРАНКА,З ТРАВАМИ,2025-01-25,3
ЦЕНТРАЛ,БІЛИЙ,2025-01-25,0
ЦЕНТРАЛ,СІРИЙ,2025-01-25,2
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-01-25,3
ЦЕНТРАЛ,ТОСТОВИЙ,2025-01-25,0
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-01-25,0
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-25,0
ЦЕНТРАЛ,КЕРПІЧИК,2025-01-25,1
ЦЕНТРАЛ,З ТРАВАМИ,2025-01-25,0
ДРУЖБА,БІЛИЙ,2025-01-25,1
ДРУЖБА,СІРИЙ,2025-01-25,0
ДРУЖБА,БОРОДІНСЬКИЙ,2025-01-25,0
ДРУЖБА,ТОСТОВИЙ,2025-01-25,2
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-01-25,1
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-25,1
ДРУЖБА,КЕРПІЧИК,2025-01-25,1
ДРУЖБА,З ТРАВАМИ,2025-01-25,1
АВТОСТАНЦІЯ,БІЛИЙ,2025-01-26,3
АВТОСТАНЦІЯ,СІРИЙ,2025-01-26,0
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-01-26,1
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-01-26,1
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-01-26,2
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-26,2
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-01-26,3
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-01-26,1
ГРІНВІЧ,БІЛИЙ,2025-01-26,1
ГРІНВІЧ,СІРИЙ,2025-01-26,2
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-26,0
ГРІНВІЧ,ТОСТОВИЙ,2025-01-26,1
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-26,1
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-26,2
ГРІНВІЧ,КЕРПІЧИК,2025-01-26,2
ГРІНВІЧ,З ТРАВАМИ,2025-01-26,0
ПАЛАНОК,БІЛИЙ,2025-01-26,1
ПАЛАНОК,СІРИЙ,2025-01-26,1
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-26,0
ПАЛАНОК,ТОСТОВИЙ,2025-01-26,0
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-26,1
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-26,2
ПАЛАНОК,КЕРПІЧИК,2025-01-26,1
ПАЛАНОК,З ТРАВАМИ,2025-01-26,1
ЧЕРЕМШИНА,БІЛИЙ,2025-01-26,0
ЧЕРЕМШИНА,СІРИЙ,2025-01-26,1
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-01-26,2
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-01-26,2
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-01-26,2
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-26,0
ЧЕРЕМШИНА,КЕРПІЧИК,2025-01-26,0
ЧЕРЕМШИНА,З ТРАВАМИ,2025-01-26,2
ПІДГОРЯНО,БІЛИЙ,2025-01-26,1
ПІДГОРЯНО,СІРИЙ,2025-01-26,0
ПІДГОРЯНО,БОРОДІНСЬКИЙ,2025-01-26,3
ПІДГОРЯНО,ТОСТОВИЙ,2025-01-26,0
ПІДГОРЯНО,ФЕРМЕРСЬКИЙ,2025-01-26,1
ПІДГОРЯНО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-26,4
ПІДГОРЯНО,КЕРПІЧИК,2025-01-26,0
ПІДГОРЯНО,З ТРАВАМИ,2025-01-26,0
ЄВРАЗІЯ,БІЛИЙ,2025-01-26,1
ЄВРАЗІЯ,СІРИЙ,2025-01-26,1
ЄВРАЗІЯ,БОРОДІНСЬКИЙ,2025-01-26,0
ЄВРАЗІЯ,ТОСТОВИЙ,2025-01-26,0
ЄВРАЗІЯ,ФЕРМЕРСЬКИЙ,2025-01-26,2
ЄВРАЗІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-26,3
ЄВРАЗІЯ,КЕРПІЧИК,2025-01-26,1
ЄВРАЗІЯ,З ТРАВАМИ,2025-01-26,4
РОСВИГОВО,БІЛИЙ,2025-01-26,0
РОСВИГОВО,СІРИЙ,2025-01-26,2
РОСВИГОВО,БОРОДІНСЬКИЙ,2025-01-26,3
РОСВИГОВО,ТОСТОВИЙ,2025-01-26,0
РОСВИГОВО,ФЕРМЕРСЬКИЙ,2025-01-26,1
РОСВИГОВО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-26,1
РОСВИГОВО,КЕРПІЧИК,2025-01-26,1
РОСВИГОВО,З ТРАВАМИ,2025-01-26,1
ЯВОРНИЦЬКОГО,БІЛИЙ,2025-01-26,0
ЯВОРНИЦЬКОГО,СІРИЙ,2025-01-26,3
ЯВОРНИЦЬКОГО,БОРОДІНСЬКИЙ,2025-01-26,3
ЯВОРНИЦЬКОГО,ТОСТОВИЙ,2025-01-26,0
ЯВОРНИЦЬКОГО,ФЕРМЕРСЬКИЙ,2025-01-26,3
ЯВОРНИЦЬКОГО,ЦІЛЬНОЗЕРНОВИЙ,2025-01-26,0
ЯВОРНИЦЬКОГО,КЕРПІЧИК,2025-01-26,1
ЯВОРНИЦЬКОГО,З ТРАВАМИ,2025-01-26,1
ПРОГРЕС,БІЛИЙ,2025-01-26,1
ПРОГРЕС,СІРИЙ,2025-01-26,0
ПРОГРЕС,БОРОДІНСЬКИЙ,2025-01-26,2
ПРОГРЕС,ТОСТОВИЙ,2025-01-26,3
ПРОГРЕС,ФЕРМЕРСЬКИЙ,2025-01-26,0
ПРОГРЕС,ЦІЛЬНОЗЕРНОВИЙ,2025-01-26,6
ПРОГРЕС,КЕРПІЧИК,2025-01-26,2
ПРОГРЕС,З ТРАВАМИ,2025-01-26,4
ФРАНКА,БІЛИЙ,2025-01-26,1
ФРАНКА,СІРИЙ,2025-01-26,2
ФРАНКА,БОРОДІНСЬКИЙ,2025-01-26,0
ФРАНКА,ТОСТОВИЙ,2025-01-26,1
ФРАНКА,ФЕРМЕРСЬКИЙ,2025-01-26,0
ФРАНКА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-26,3
ФРАНКА,КЕРПІЧИК,2025-01-26,0
ФРАНКА,З ТРАВАМИ,2025-01-26,0
ЦЕНТРАЛ,БІЛИЙ,2025-01-26,1
ЦЕНТРАЛ,СІРИЙ,2025-01-26,1
ЦЕНТРАЛ,БОРОДІНСЬКИЙ,2025-01-26,1
ЦЕНТРАЛ,ТОСТОВИЙ,2025-01-26,1
ЦЕНТРАЛ,ФЕРМЕРСЬКИЙ,2025-01-26,0
ЦЕНТРАЛ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-26,0
ЦЕНТРАЛ,КЕРПІЧИК,2025-01-26,0
ЦЕНТРАЛ,З ТРАВАМИ,2025-01-26,1
ДРУЖБА,БІЛИЙ,2025-01-26,0
ДРУЖБА,СІРИЙ,2025-01-26,3
ДРУЖБА,БОРОДІНСЬКИЙ,2025-01-26,0
ДРУЖБА,ТОСТОВИЙ,2025-01-26,3
ДРУЖБА,ФЕРМЕРСЬКИЙ,2025-01-26,1
ДРУЖБА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-26,2
ДРУЖБА,КЕРПІЧИК,2025-01-26,1
ДРУЖБА,З ТРАВАМИ,2025-01-26,0
АВТОСТАНЦІЯ,БІЛИЙ,2025-01-27,1
АВТОСТАНЦІЯ,СІРИЙ,2025-01-27,0
АВТОСТАНЦІЯ,БОРОДІНСЬКИЙ,2025-01-27,3
АВТОСТАНЦІЯ,ТОСТОВИЙ,2025-01-27,0
АВТОСТАНЦІЯ,ФЕРМЕРСЬКИЙ,2025-01-27,2
АВТОСТАНЦІЯ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-27,2
АВТОСТАНЦІЯ,КЕРПІЧИК,2025-01-27,1
АВТОСТАНЦІЯ,З ТРАВАМИ,2025-01-27,1
ГРІНВІЧ,БІЛИЙ,2025-01-27,1
ГРІНВІЧ,СІРИЙ,2025-01-27,1
ГРІНВІЧ,БОРОДІНСЬКИЙ,2025-01-27,0
ГРІНВІЧ,ТОСТОВИЙ,2025-01-27,2
ГРІНВІЧ,ФЕРМЕРСЬКИЙ,2025-01-27,0
ГРІНВІЧ,ЦІЛЬНОЗЕРНОВИЙ,2025-01-27,2
ГРІНВІЧ,КЕРПІЧИК,2025-01-27,0
ГРІНВІЧ,З ТРАВАМИ,2025-01-27,3
ПАЛАНОК,БІЛИЙ,2025-01-27,1
ПАЛАНОК,СІРИЙ,2025-01-27,2
ПАЛАНОК,БОРОДІНСЬКИЙ,2025-01-27,0
ПАЛАНОК,ТОСТОВИЙ,2025-01-27,3
ПАЛАНОК,ФЕРМЕРСЬКИЙ,2025-01-27,1
ПАЛАНОК,ЦІЛЬНОЗЕРНОВИЙ,2025-01-27,3
ПАЛАНОК,КЕРПІЧИК,2025-01-27,0
ПАЛАНОК,З ТРАВАМИ,2025-01-27,0
ЧЕРЕМШИНА,БІЛИЙ,2025-01-27,0
ЧЕРЕМШИНА,СІРИЙ,2025-01-27,0
ЧЕРЕМШИНА,БОРОДІНСЬКИЙ,2025-01-27,1
ЧЕРЕМШИНА,ТОСТОВИЙ,2025-01-27,0
ЧЕРЕМШИНА,ФЕРМЕРСЬКИЙ,2025-01-27,2
ЧЕРЕМШИНА,ЦІЛЬНОЗЕРНОВИЙ,2025-01-27,3
ЧЕРЕМШИНА,КЕРПІЧИК,2025-01-27,1
